Name,Date,Due Date,Participants,Tags,Type,관련 링크,상태,작성 일자
이렇게 생긴 메인 화면은 어떨까,,,,Suggestion,,,Done,2022년 9월 20일 오후 4:27
인포 메시지를 다시 보고 싶은 경우,,,,Suggestion,,,Done,2022년 10월 6일 오후 4:53
[delayed]스크린샷과 관련해서는 샷태그만 가면 된다는 인식을 주자,,,,Shotag concept,,,In progress,2022년 10월 4일 오후 4:36
[delayed]다크테마,,,,Shotag concept,,,Not started,2022년 10월 4일 오후 4:40
[delayed]URL link,,,,Shotag concept,,,Not started,2022년 12월 5일 오후 7:01
샷태그 진행 상황,,,,follow-up,,,In progress,2022년 10월 25일 오후 3:21
개발 현황,,,,follow-up,,,In progress,2022년 10월 6일 오후 2:40
구글 로그인 모듈,,,,follow-up,,,In progress,2022년 10월 13일 오후 12:42
과거 focus group interview,,,,follow-up,,,In progress,2022년 9월 22일 오후 2:01
"Shotag, follow-up",,,,follow-up,,,Done,2022년 9월 8일 오후 12:28
스포카의 UX Writing,,,,UX design,,https://spoqa.github.io/2020/08/21/ux-writing.html,In progress,2022년 10월 28일 오후 12:16
랜딩페이지로 비즈니스 아이디어 검증하기,,,,PM,,https://yozm.wishket.com/magazine/detail/1297/,Not started,2022년 12월 21일 오후 4:29
Banksalad Product Language를 소개합니다 (feat. Figma),,,,PM,,https://blog.banksalad.com/tech/banksalad-product-language-ios/,Done,2022년 11월 3일 오전 11:17
PM을 위한 디자이너/개발자와의 커뮤니케이션 꿀팁,,,,PM,,https://brunch.co.kr/@mayo-ux/29,In progress,2022년 11월 2일 오전 11:23
초기에 함께 일하는 동료들에게 신뢰를 얻을 수 있는 소통 방법,,,,PM,,,In progress,2022년 10월 31일 오후 12:03
처음 만나는 애자일 방법론,,,,PM,,https://wormwlrm.github.io/2018/09/09/Scrum-tutorial-for-adapting-agile-methodologies.html,Done,2022년 10월 27일 오후 2:36
토스의 가입 UI case study,,,,UX design,,,Done,2022년 10월 27일 오후 1:04
제품을 이해하기 위한 4단계,,,,PM,,,In progress,2022년 9월 28일 오후 12:23
에러 메시지를 쓸모있게 작성하는 방법,,,,PM,,,Done,2022년 10월 24일 오전 11:07
어떤 상황에서든 좋은 퍼포먼스를 내는 사람들의 특징 5가지,,,,PM,,https://careerly.co.kr/comments/69659?utm_campaign=user-share,Done,2022년 10월 19일 오전 11:05
아이디어 평가자(훈수꾼) 유형별 내 아이디어 지키기,,,,PM,,https://careerly.co.kr/comments/69851?utm_campaign=user-share,Done,2022년 10월 20일 오후 12:42
스타트업의 서비스 기획 검증하기,,,,PM,,https://brunch.co.kr/@bellrings/4,In progress,2022년 11월 1일 오후 1:52
소프트스킬,,,,PM,,,Done,2022년 9월 28일 오후 12:23
서비스 기획자로서 했던 치명적인 실수들을 반복하지 않으려면,,,,PM,,https://brunch.co.kr/@acesaak/30,In progress,2022년 10월 19일 오전 11:20
Powerful UX Statistics For A Successful Website/App,,,,UX design,,https://webhostingprof.com/blog/ux-statistics/,Done,2022년 10월 18일 오후 2:18
Material design이란,,,,UX design,,https://m3.material.io/get-started,In progress,2022년 10월 28일 오후 3:11
Material design - components,,,,UX design,,https://m3.material.io/components,In progress,2022년 10월 31일 오후 2:46
Material design - foundation,,,,UX design,,,In progress,2022년 10월 28일 오후 3:14
배민이 1년 내내 할인하는 이유 (feat.퀵커머스),,,,PM,,"https://www.hankyung.com/economy/article/2022101489171, https://careerly.co.kr/comments/69560?utm_campaign=user-share",Done,2022년 10월 18일 오후 1:09
깊게 사고하는 연습,,,,PM,,,In progress,2022년 9월 28일 오후 12:19
‘열린 문제’를 풀기 위해서 필요한 사고방법,,,,PM,,,Done,2022년 10월 21일 오후 5:41
UI/UX Testing,,,,UX design,,https://pollthepeople.app/ui-ux-testing/,In progress,2022년 10월 17일 오후 7:08
"Tips for a Better Reasoning and problem-solving skills ",,,,PM,,,In progress,2022년 10월 27일 오후 12:51
Reasoning check 할 때 생각할 것,,,,PM,,https://brunch.co.kr/@sasap12/81,In progress,2022년 10월 5일 오후 3:56
growth mindset/fixed mindset,,,,PM,,https://learn.microsoft.com/en-us/training/modules/develop-growth-mindset/2-describe-fixed-and-growth-mindsets,In progress,2022년 10월 25일 오전 10:50
"MVP 테스트, 어떤 질문이 필요할까?",,,,PM,,,Not started,2022년 12월 15일 오후 2:58
"collection of all the resources(Books, Articles, Podcasts and Newsletters)",,,,PM,,https://sidsaladi.substack.com/p/week-6-pm-101-books-articles-podcasts,In progress,2022년 12월 14일 오전 11:30
9 Types of Minimum Viable Products,,,,PM,,https://keyua.org/blog/types-of-minimum-viable-product/,In progress,2022년 12월 9일 오후 2:51
포지셔닝,,,,research,,,Done,2022년 10월 19일 오후 3:04
product research & STP,,,,research,,,Done,2022년 9월 16일 오후 3:30
network effect recap,,,,research,,,In progress,2022년 9월 22일 오후 3:53
various categories of mobile services,,,,research,,,In progress,2022년 11월 17일 오후 8:04
본격적으로 QA할 때 볼 것들,,,,error-ly,,,Not started,2022년 10월 25일 오후 12:11
검색이 이상해여,,,,error-ly,,,In progress,2022년 10월 17일 오전 11:57
recent search가 아닌 태그들이 등장,,,,error-ly,,,Done,2022년 9월 27일 오전 11:55
이거 서로 태그들이 바뀐 거 같은데?,,,,error-ly,,,In progress,2022년 9월 22일 오후 4:28
detailed view에서 삭제 시 main 화면으로 넘어가버림,,,,error-ly,,,Done,2022년 9월 30일 오후 2:43
아무런 경고창 없이 바로 로그아웃이 되어버림,,,,error-ly,,,In progress,2022년 10월 4일 오후 5:14
아래에서부터 Crop 할 때,,,,error-ly,,,Not started,2022년 10월 13일 오후 12:38
왜 태그가 안뜰까?,,,,error-ly,,,In progress,2022년 10월 19일 오전 10:56
잘못된 텍스트,,,,error-ly,,,Done,2022년 10월 21일 오후 3:22
멀티태스킹 때 이상해용,,,,error-ly,,,Not started,2022년 11월 22일 오후 2:31
문구 문법 쭉 체크하기,,,,error-ly,,,Not started,2022년 11월 7일 오후 5:18
20221221,,,,todos,,,In progress,2022년 12월 21일 오전 10:50
20221220,,,,todos,,,Done,2022년 12월 19일 오후 12:38
20221219,,,,todos,,,Done,2022년 12월 20일 오전 11:38
20221216,,,,todos,,,Done,2022년 12월 16일 오전 11:51
20221215,,,,todos,,,Done,2022년 12월 15일 오후 2:32
20221213,,,,todos,,,Done,2022년 12월 14일 오전 10:28
20221214,,,,todos,,,Done,2022년 12월 13일 오후 12:03
20221212,,,,todos,,,Done,2022년 12월 12일 오전 11:57
20221208,,,,todos,,,Done,2022년 12월 7일 오전 11:49
20221209,,,,todos,,,Done,2022년 12월 9일 오전 11:54
20221207,,,,todos,,,Done,2022년 12월 8일 오후 12:56
20221206,,,,todos,,,Done,2022년 12월 6일 오전 10:28
20221205,,,,todos,,,Done,2022년 12월 5일 오전 11:38
20221202,,,,todos,,,Done,2022년 12월 2일 오전 10:51
20221201,,,,todos,,,Done,2022년 12월 1일 오전 11:01
20221130,,,,todos,,,Done,2022년 11월 30일 오전 11:38
20221129,,,,todos,,,Done,2022년 11월 29일 오전 11:49
20221128,,,,todos,,,Done,2022년 11월 28일 오전 11:37
20221124,,,,todos,,,Done,2022년 11월 24일 오전 10:43
20221123,,,,todos,,,Done,2022년 11월 23일 오전 10:58
20221122,,,,todos,,,Done,2022년 11월 22일 오전 11:23
20221121,,,,todos,,,Done,2022년 11월 18일 오후 6:56
20221118,,,,todos,,,Done,2022년 11월 18일 오후 4:48
20221117,,,,todos,,,Done,2022년 11월 17일 오전 10:46
20221116,,,,todos,,,Done,2022년 11월 16일 오후 12:16
20221115,,,,todos,,,Done,2022년 11월 14일 오전 10:55
